0,TXFE7,戳,68.99%
1,2330,縩筿,17.12%
2,2317,翬,5.87%
3,6505,鹅て,3.57%
4,2412,い地筿,2.81%
5,3008,ミ,2.24%
6,2882,瓣,2.07%
7,1301,鹅,2.05%
8,1303,玭ㄈ,1.99%
9,1326,て,1.90%
10,2881,碔ü,1.70%
11,2308,笷筿,1.52%
12,3045,芖,1.33%
13,2002,い葵,1.33%
14,2891,い獺,1.26%
15,2454,羛祇,1.20%
16,2886,伦,1.15%
17,1216,参,1.11%
18,2311,らる,1.09%
19,2912,参禬,0.95%
20,4904,环肚,0.86%
21,2382,約笷,0.84%
22,2474,Θ,0.79%
23,4938,㎝河,0.77%
24,2892,材,0.77%
25,2357,地河,0.75%
26,2105,タ穝,0.69%
27,2207,㎝ó,0.66%
28,5880,畐,0.63%
29,2880,地玭,0.62%
30,2884,ド,0.61%
31,2801,裹蝗,0.54%
32,2325,珇,0.54%
33,2885,じ,0.53%
34,2395,地,0.53%
35,2303,羛筿,0.53%
36,3481,竤承,0.50%
37,1101,猟,0.48%
38,1402,环狥穝,0.47%
39,2408,玭ㄈ,0.45%
40,2354,翬非,0.44%
41,9904,腳Θ,0.43%
42,2883,秨祇,0.42%
43,2301,腳,0.42%
44,2409,ね笷,0.42%
45,2887,穝,0.41%
46,2823,い关,0.34%
47,1102,ㄈ猟,0.34%
48,2890,ッ伦,0.34%
49,2324,く腳,0.32%
50,1476,晶翬,0.29%
